problem_slug,slug,title,system_prompt,is_pinned,parent_prompt_slug,model
write-high-converting-landing-page,landing-page-core,Core SaaS Landing Page Prompt,"You are a SaaS copywriter. Write a high-converting landing page using sections: Hero, Problem, Solution, Benefits, Social Proof, Objections, CTA. Use placeholders if data is missing.",true,,gpt-4
write-high-converting-landing-page,landing-page-message-test,Landing Page Message Testing,"Generate 5 positioning angles, choose the strongest, then write a full landing page and explain why this angle wins.",false,landing-page-core,gpt-4
write-high-converting-landing-page,landing-page-short,Short-Form Landing Page,"Write a concise landing page optimized for fast scanning and conversions.",false,landing-page-core,gpt-4
seo-blog-post-outline,seo-outline-core,SEO Outline by Search Intent,"Create an SEO outline using keyword intent. Include H1-H3s, FAQs, target word count, and internal links.",true,,gpt-4
seo-blog-post-outline,seo-outline-gap,SEO Outline with Content Gaps,"Analyze likely competitor gaps and build an outline that fills them.",false,seo-outline-core,gpt-4
seo-blog-post-outline,seo-outline-snippet,SEO Outline for Featured Snippets,"Optimize outline sections specifically for featured snippets.",false,seo-outline-core,gpt-4
cold-email-personalized,cold-email-core,Personalized Cold Email,"Write a personalized cold email under 120 words with a clear reason to care and soft CTA.",true,,gpt-4
cold-email-personalized,cold-email-a-b,Cold Email A/B Variants,"Generate two variants: direct and friendly. Explain intent differences.",false,cold-email-core,gpt-4
cold-email-personalized,cold-email-followup,Cold Email Follow-Up,"Write a polite follow-up email referencing the original message.",false,cold-email-core,gpt-4
react-bug-triage,react-debug-core,React Debugging Prompt,"Given a console error and component snippet, identify root cause, fix, and prevention checklist.",true,,gpt-4
react-bug-triage,react-debug-hooks,React Hooks Edge Cases,"Debug issues related to hooks, dependencies, and stale state.",false,react-debug-core,gpt-4
react-bug-triage,react-debug-performance,React Performance Debug,"Identify unnecessary re-renders and performance bottlenecks.",false,react-debug-core,gpt-4
supabase-rls-generator,rls-core,Supabase RLS Generator,"Generate SELECT, INSERT, UPDATE, DELETE RLS policies for a multi-tenant Supabase app.",true,,gpt-4
supabase-rls-generator,rls-admin,Advanced RLS with Admin Roles,"Extend RLS with admin roles and least-privilege access.",false,rls-core,gpt-4
supabase-rls-generator,rls-soft-delete,RLS with Soft Deletes,"Add soft-delete logic while preserving security.",false,rls-core,gpt-4
youtube-title-thumbnail,yt-core,YouTube Title + Thumbnail Pack,"Generate 12 YouTube titles and 12 thumbnail hooks optimized for CTR.",true,,gpt-4
youtube-title-thumbnail,yt-curiosity,Curiosity-Driven Titles,"Generate curiosity-based titles without clickbait.",false,yt-core,gpt-4
youtube-title-thumbnail,yt-education,Educational YouTube Titles,"Generate titles optimized for learning-focused audiences.",false,yt-core,gpt-4
shorts-script-hooks,shorts-core,Viral Shorts Script,"Write a 30–45s Shorts script with hook, payoff, and pattern interrupts.",true,,gpt-4
shorts-script-hooks,shorts-editing,Shorts Editing Notes,"Add b-roll, captions, and pacing suggestions.",false,shorts-core,gpt-4
shorts-script-hooks,shorts-hooks-only,Shorts Hook Generator,"Generate 10 opening hooks for Shorts.",false,shorts-core,gpt-4
meeting-notes-actions,meeting-core,Meeting Notes to Actions,"Convert raw notes into a table with owner, task, due date, and risks.",true,,gpt-4
meeting-notes-actions,meeting-summary,Meeting Summary Generator,"Write a concise executive summary from meeting notes.",false,meeting-core,gpt-4
meeting-notes-actions,meeting-followups,Meeting Follow-Up Email,"Generate a follow-up email summarizing action items.",false,meeting-core,gpt-4
saas-pricing-strategy,pricing-core,SaaS Pricing Strategy,"Design a 3-tier pricing strategy with feature differentiation and psychological anchoring.",true,,gpt-4
saas-pricing-strategy,pricing-value,Value-Based Pricing,"Create pricing based on customer value metrics rather than cost-plus.",false,pricing-core,gpt-4
saas-pricing-strategy,pricing-freemium,Freemium Pricing Model,"Design a freemium model with clear upgrade triggers.",false,pricing-core,gpt-4
sql-query-optimizer,sql-optimize-core,SQL Query Optimizer,"Analyze a slow SQL query and provide optimized version with explanation.",true,,gpt-4
sql-query-optimizer,sql-index,SQL Index Recommendations,"Suggest optimal indexes for query performance.",false,sql-optimize-core,gpt-4
sql-query-optimizer,sql-explain,SQL Execution Plan Analysis,"Interpret EXPLAIN output and identify bottlenecks.",false,sql-optimize-core,gpt-4
resume-bullet-metrics,resume-core,Resume Bullet with Metrics,"Rewrite resume bullets using the XYZ formula: Accomplished [X] as measured by [Y] by doing [Z].",true,,gpt-4
resume-bullet-metrics,resume-action,Action-Driven Resume Bullets,"Start each bullet with strong action verbs and quantify impact.",false,resume-core,gpt-4
resume-bullet-metrics,resume-star,STAR Method Resume Bullets,"Use Situation, Task, Action, Result framework for bullets.",false,resume-core,gpt-4
customer-support-reply,support-core,Calm Support Reply,"Write an empathetic support reply that de-escalates and solves the issue.",true,,gpt-4
customer-support-reply,support-refund,Refund Request Response,"Handle refund requests professionally while protecting company interests.",false,support-core,gpt-4
customer-support-reply,support-bug,Bug Report Response,"Acknowledge bug reports and set clear expectations.",false,support-core,gpt-4
feature-requirements-doc,prd-core,Product Requirements Document,"Create a PRD with problem statement, user stories, acceptance criteria, and success metrics.",true,,gpt-4
feature-requirements-doc,prd-technical,Technical PRD,"Add technical specifications, API contracts, and data models to PRD.",false,prd-core,gpt-4
feature-requirements-doc,prd-one-pager,One-Page PRD,"Condense PRD into a single-page executive format.",false,prd-core,gpt-4
api-documentation,api-docs-core,API Documentation,"Write clear API documentation with endpoints, parameters, examples, and error codes.",true,,gpt-4
